seed,size_a,size_e,avg_applicant_rank_a_opt,avg_employer_rank_a_opt,avg_applicant_rank_e_opt,avg_employer_rank_e_opt,pairs_changed,blocking_a_opt,blocking_e_opt,correlation_score
129,50,50,10.62,6.0,10.62,6.0,0,0,0,0.10678623616695404
130,50,50,8.96,6.66,9.6,5.74,3,0,0,0.1042686328291893
131,50,50,7.56,6.5,9.18,4.46,7,0,0,0.0833265408873558
132,50,50,7.72,4.78,7.72,4.78,0,0,0,0.09909950941801071
133,50,50,8.76,5.82,8.94,4.98,2,0,0,0.10928840935230255
134,50,50,7.32,5.92,7.98,5.18,3,0,0,0.08523950725793839
135,50,50,8.68,7.76,9.54,6.62,5,0,0,0.09091922640800476
136,50,50,8.9,6.22,9.2,6.12,2,0,0,0.08859512954950333
137,50,50,8.2,6.18,8.46,5.66,2,0,0,0.09108534455299377
138,50,50,9.54,5.82,9.54,5.82,0,0,0,0.09082141518592834
139,50,50,8.5,5.08,8.74,4.56,3,0,0,0.10042992979288101
140,50,50,8.28,4.98,8.32,4.94,2,0,0,0.10397043824195862
141,50,50,8.18,4.66,8.18,4.66,0,0,0,0.08768203109502792
