seed,size_a,size_e,avg_applicant_rank_a_opt,avg_employer_rank_a_opt,avg_applicant_rank_e_opt,avg_employer_rank_e_opt,pairs_changed,blocking_a_opt,blocking_e_opt,correlation_score,trial
20109,20,30,3.25,3.25,3.25,3.25,0,0,0,0.09016646444797516,67
20110,20,30,3.2,2.5,3.2,2.5,0,0,0,0.08187920600175858,68
20111,20,30,2.4,2.65,2.4,2.65,0,0,0,0.07150541990995407,69
20112,20,30,2.95,3.05,2.95,3.05,0,0,0,0.08080324530601501,70
20113,20,30,4.5,2.9,4.5,2.9,0,0,0,0.14174021780490875,71
20114,20,30,3.0,2.65,3.0,2.65,0,0,0,0.08864305168390274,72
20115,20,30,2.65,3.65,2.65,3.65,0,0,0,0.10144449770450592,73
20116,20,30,3.3,3.25,3.3,3.25,0,0,0,0.1020049899816513,74
20117,20,30,2.7,2.4,2.7,2.4,0,0,0,0.10689270496368408,75
20118,20,30,3.4,2.7,3.4,2.7,0,0,0,0.06670283526182175,76
20119,20,30,3.25,1.9,3.25,1.9,0,0,0,0.09168596565723419,77
20120,20,30,2.75,2.75,2.75,2.75,0,0,0,0.10385068506002426,78
20121,20,30,2.95,2.0,2.95,2.0,0,0,0,0.10523387789726257,79
20122,20,30,3.9,2.9,3.9,2.9,0,0,0,0.09850110858678818,80
20123,20,30,2.85,3.55,2.85,3.55,0,0,0,0.08719611912965775,81
20124,20,30,4.15,2.95,4.15,2.95,0,0,0,0.0989147424697876,82
20125,20,30,2.5,2.2,2.5,2.2,0,0,0,0.10077332705259323,83
20126,20,30,1.9,4.25,1.9,4.25,0,0,0,0.08242948353290558,84
20127,20,30,4.35,2.1,4.35,2.1,0,0,0,0.12156521528959274,85
20128,20,30,3.25,3.15,3.25,3.15,0,0,0,0.09877104312181473,86
20129,20,30,3.15,2.85,3.15,2.85,0,0,0,0.08925633132457733,87
20130,20,30,3.3,2.65,3.3,2.65,0,0,0,0.09868637472391129,88
20131,20,30,2.6,2.65,2.6,2.65,0,0,0,0.06690828502178192,89
20132,20,30,2.3,2.95,2.3,2.95,0,0,0,0.08137057721614838,90
20133,20,30,1.8,1.6,1.8,1.6,0,0,0,0.06700698286294937,91
20134,20,30,4.1,2.95,4.1,2.95,0,0,0,0.11347013711929321,92
20135,20,30,2.7,2.2,2.7,2.2,0,0,0,0.08569089323282242,93
20136,20,30,2.5,1.8,2.5,1.8,0,0,0,0.10762159526348114,94
20137,20,30,3.6,1.75,3.6,1.75,0,0,0,0.10108795762062073,95
20138,20,30,3.4,2.55,3.4,2.55,0,0,0,0.12562038004398346,96
20139,20,30,2.9,2.7,2.9,2.7,0,0,0,0.10635535418987274,97
20140,20,30,2.85,3.45,2.85,3.45,0,0,0,0.08267836272716522,98
20141,20,30,2.7,2.05,2.7,2.05,0,0,0,0.09860223531723022,99
25042,25,30,4.48,2.92,4.48,2.92,0,0,0,0.11132779717445374,0
25043,25,30,4.24,3.32,4.24,3.32,0,0,0,0.09610152244567871,1
25044,25,30,5.4,3.76,5.4,3.76,0,0,0,0.12546077370643616,2
25045,25,30,2.36,2.4,2.36,2.4,0,0,0,0.06231752783060074,3
25046,25,30,4.08,3.2,4.08,3.2,0,0,0,0.09659645706415176,4
25047,25,30,3.6,2.64,3.6,2.64,0,0,0,0.09261585026979446,5
25048,25,30,3.96,3.72,3.96,3.72,0,0,0,0.08843743801116943,6
25049,25,30,4.52,3.28,4.52,3.28,0,0,0,0.09328632801771164,7
25050,25,30,5.84,4.84,5.84,4.84,0,0,0,0.12271322309970856,8
25051,25,30,3.72,3.68,3.72,3.68,0,0,0,0.10249961912631989,9
