seed,size_a,size_e,avg_applicant_rank_a_opt,avg_employer_rank_a_opt,avg_applicant_rank_e_opt,avg_employer_rank_e_opt,pairs_changed,blocking_a_opt,blocking_e_opt,correlation_score,quartile,a_opt_advantage
10101,50,50,6.38,5.54,6.8,5.3,2,0,0,0.07841271162033081,Q1 (low),-0.8399999999999999
10102,50,50,8.56,4.52,8.56,4.52,0,0,0,0.10521894693374634,Q4 (high),-4.040000000000001
10103,50,50,7.86,5.16,7.86,5.16,0,0,0,0.08642502129077911,Q2,-2.7
10104,50,50,7.56,6.66,7.76,6.24,2,0,0,0.08253566920757294,Q1 (low),-0.8999999999999995
10105,50,50,8.12,4.52,8.12,4.52,0,0,0,0.10073546320199966,Q3,-3.5999999999999996
10106,50,50,6.44,4.28,7.4,4.04,2,0,0,0.08999799191951752,Q2,-2.16
10107,50,50,8.44,4.8,8.7,4.3,2,0,0,0.10965269058942795,Q4 (high),-3.6399999999999997
10108,50,50,10.26,6.3,11.58,4.76,4,0,0,0.10501361638307571,Q4 (high),-3.96
10109,50,50,8.92,5.28,9.76,4.96,4,0,0,0.09256178140640259,Q2,-3.6399999999999997
10110,50,50,8.4,4.92,8.4,4.92,0,0,0,0.10280216485261917,Q4 (high),-3.4800000000000004
10111,50,50,9.02,4.74,9.02,4.74,0,0,0,0.08096332103013992,Q1 (low),-4.279999999999999
10112,50,50,9.66,4.48,9.66,4.48,0,0,0,0.11708669364452362,Q4 (high),-5.18
10113,50,50,7.0,4.66,7.08,4.08,2,0,0,0.09486763179302216,Q3,-2.34
10114,50,50,6.66,4.0,6.66,4.0,0,0,0,0.08634619414806366,Q2,-2.66
10115,50,50,8.48,4.6,8.88,4.08,3,0,0,0.09165749698877335,Q2,-3.880000000000001
10116,50,50,6.34,4.6,6.48,4.34,2,0,0,0.081448033452034,Q1 (low),-1.7400000000000002
10117,50,50,8.68,4.56,8.68,4.56,0,0,0,0.10643915086984634,Q4 (high),-4.12
10118,50,50,8.28,4.96,8.52,4.12,3,0,0,0.08196697384119034,Q1 (low),-3.3199999999999994
10119,50,50,8.84,7.12,9.62,4.76,4,0,0,0.09929514676332474,Q3,-1.7199999999999998
10120,50,50,6.48,4.5,6.48,4.5,0,0,0,0.08015093207359314,Q1 (low),-1.9800000000000004
10121,50,50,7.58,5.34,8.16,4.68,2,0,0,0.08961006999015808,Q2,-2.24
10122,50,50,8.64,4.24,8.64,4.24,0,0,0,0.09394408762454987,Q3,-4.4
10123,50,50,9.16,5.14,9.46,4.3,2,0,0,0.10729440301656723,Q4 (high),-4.0200000000000005
10124,50,50,9.18,7.62,10.52,4.86,7,0,0,0.10811848938465118,Q4 (high),-1.5599999999999996
10125,50,50,9.64,7.52,9.92,6.92,3,0,0,0.09546080231666565,Q3,-2.120000000000001
10126,50,50,8.04,6.28,9.2,5.08,5,0,0,0.09932391345500946,Q3,-1.759999999999999
10127,50,50,7.94,4.76,7.94,4.76,0,0,0,0.08496230840682983,Q1 (low),-3.1800000000000006
10128,50,50,8.82,5.12,8.98,4.64,2,0,0,0.10737904906272888,Q4 (high),-3.7
10129,50,50,8.2,5.52,8.2,5.52,0,0,0,0.08412382006645203,Q1 (low),-2.6799999999999997
10130,50,50,6.1,4.32,6.1,4.32,0,0,0,0.08542278409004211,Q1 (low),-1.7799999999999994
10131,50,50,7.82,6.6,8.12,5.74,2,0,0,0.0913262888789177,Q2,-1.2200000000000006
10132,50,50,8.88,6.78,9.12,6.68,2,0,0,0.08158564567565918,Q1 (low),-2.1000000000000005
10133,50,50,10.66,4.42,11.34,3.64,4,0,0,0.11875960230827332,Q4 (high),-6.24
10134,50,50,10.46,4.6,11.3,4.36,2,0,0,0.09887754917144775,Q3,-5.860000000000001
10135,50,50,8.04,5.14,8.3,4.38,4,0,0,0.09292717278003693,Q2,-2.8999999999999995
10136,50,50,8.14,5.96,8.14,5.96,0,0,0,0.08591315150260925,Q1 (low),-2.1800000000000006
10137,50,50,9.72,5.44,10.16,5.2,2,0,0,0.0990004613995552,Q3,-4.28
10138,50,50,10.86,6.32,11.36,6.08,3,0,0,0.09986165910959244,Q3,-4.539999999999999
10139,50,50,7.08,4.28,7.08,4.28,0,0,0,0.08158078789710999,Q1 (low),-2.8
10140,50,50,9.84,5.98,10.16,4.72,3,0,0,0.10020376741886139,Q3,-3.8599999999999994
10141,50,50,8.8,5.2,8.8,5.2,0,0,0,0.08468136936426163,Q1 (low),-3.6000000000000005
10142,50,50,8.78,5.9,8.86,5.62,2,0,0,0.10595894604921341,Q4 (high),-2.879999999999999
10143,50,50,7.78,5.76,8.52,4.62,4,0,0,0.09227625280618668,Q2,-2.0200000000000005
10144,50,50,8.84,4.96,8.84,4.96,0,0,0,0.10800682008266449,Q4 (high),-3.88
10145,50,50,10.82,5.7,10.82,5.7,0,0,0,0.1148899719119072,Q4 (high),-5.12
10146,50,50,8.32,5.72,8.56,4.92,2,0,0,0.09896145761013031,Q3,-2.6000000000000005
10147,50,50,9.12,6.26,9.42,5.88,2,0,0,0.0969679206609726,Q3,-2.8599999999999994
10148,50,50,6.06,6.14,6.06,6.14,0,0,0,0.08244800567626953,Q1 (low),0.08000000000000007
10149,50,50,7.72,5.58,8.42,3.92,4,0,0,0.08928533643484116,Q2,-2.1399999999999997
10150,50,50,8.9,5.42,9.4,4.36,3,0,0,0.10423941165208817,Q4 (high),-3.4800000000000004
10151,50,50,8.44,5.84,9.2,4.16,5,0,0,0.09804369509220123,Q3,-2.5999999999999996
10152,50,50,9.2,6.3,10.18,5.44,3,0,0,0.08192260563373566,Q1 (low),-2.8999999999999995
10153,50,50,8.78,5.64,9.12,5.38,2,0,0,0.0999983623623848,Q3,-3.1399999999999997
10154,50,50,9.5,4.9,9.76,4.34,3,0,0,0.10899867117404938,Q4 (high),-4.6
10155,50,50,9.52,6.66,10.26,5.98,4,0,0,0.0907885804772377,Q2,-2.8599999999999994
10156,50,50,10.02,6.48,10.54,5.24,3,0,0,0.11634974181652069,Q4 (high),-3.539999999999999
10157,50,50,8.72,5.98,9.4,4.38,5,0,0,0.0971112847328186,Q3,-2.74
10158,50,50,9.5,5.14,9.62,4.76,2,0,0,0.10962114483118057,Q4 (high),-4.36
10159,50,50,8.24,4.08,8.24,4.08,0,0,0,0.08698519319295883,Q2,-4.16
10160,50,50,8.06,6.06,8.16,5.08,2,0,0,0.09456878900527954,Q3,-2.000000000000001
10161,50,50,7.66,5.14,7.98,4.74,2,0,0,0.08172453939914703,Q1 (low),-2.5200000000000005
10162,50,50,9.22,6.18,10.26,3.94,4,0,0,0.11078543961048126,Q4 (high),-3.040000000000001
10163,50,50,9.74,3.56,9.74,3.56,0,0,0,0.11273790150880814,Q4 (high),-6.18
10164,50,50,6.14,4.38,6.14,4.38,0,0,0,0.08942211419343948,Q2,-1.7599999999999998
10165,50,50,9.34,6.46,10.06,5.48,4,0,0,0.09715736657381058,Q3,-2.88
10166,50,50,6.64,5.6,6.94,4.78,2,0,0,0.08250238001346588,Q1 (low),-1.04
10167,50,50,7.8,4.86,7.8,4.86,0,0,0,0.08404943346977234,Q1 (low),-2.9399999999999995
10168,50,50,7.42,5.5,7.42,5.5,0,0,0,0.07689128816127777,Q1 (low),-1.92
10169,50,50,8.2,5.42,8.2,5.42,0,0,0,0.1031913161277771,Q4 (high),-2.7799999999999994
10170,50,50,7.78,3.9,8.1,3.34,2,0,0,0.09281350672245026,Q2,-3.8800000000000003
10171,50,50,8.34,5.18,8.82,4.72,3,0,0,0.09318602085113525,Q2,-3.16
10172,50,50,7.48,6.42,7.98,5.88,2,0,0,0.10153407603502274,Q4 (high),-1.0600000000000005
10173,50,50,6.58,5.82,6.82,5.4,2,0,0,0.06772682815790176,Q1 (low),-0.7599999999999998
10174,50,50,7.98,5.22,7.98,5.22,0,0,0,0.09382632374763489,Q3,-2.7600000000000007
10175,50,50,10.64,4.92,10.64,4.92,0,0,0,0.12586753070354462,Q4 (high),-5.720000000000001
10176,50,50,10.0,5.82,10.6,4.9,4,0,0,0.10849075019359589,Q4 (high),-4.18
10177,50,50,7.08,5.54,7.08,5.54,0,0,0,0.07874234765768051,Q1 (low),-1.54
