seed,size_a,size_e,avg_applicant_rank_a_opt,avg_employer_rank_a_opt,avg_applicant_rank_e_opt,avg_employer_rank_e_opt,pairs_changed,blocking_a_opt,blocking_e_opt,correlation_score,trial
10109,10,10,2.9,2.6,2.9,2.6,0,0,0,0.10707737505435944,67
10110,10,10,2.9,3.6,3.6,3.0,2,0,0,0.08565320819616318,68
10111,10,10,2.4,2.3,2.4,2.3,0,0,0,0.0724596455693245,69
10112,10,10,3.2,3.3,3.8,2.8,2,0,0,0.09502441436052322,70
10113,10,10,2.4,2.4,2.4,2.4,0,0,0,0.06854289770126343,71
10114,10,10,2.5,2.3,2.5,2.3,0,0,0,0.09355486184358597,72
10115,10,10,2.7,3.1,2.7,3.1,0,0,0,0.06249423697590828,73
10116,10,10,2.7,2.9,2.7,2.9,0,0,0,0.08065155148506165,74
10117,10,10,3.1,3.9,3.1,3.9,0,0,0,0.05379907414317131,75
10118,10,10,3.1,2.9,3.1,2.9,0,0,0,0.06241286173462868,76
10119,10,10,2.4,2.7,2.4,2.7,0,0,0,0.09037420898675919,77
10120,10,10,2.4,2.3,2.4,2.3,0,0,0,0.06507579982280731,78
10121,10,10,3.6,3.0,3.6,3.0,0,0,0,0.07250037789344788,79
10122,10,10,2.7,2.0,2.7,2.0,0,0,0,0.0960327759385109,80
10123,10,10,3.4,2.7,3.4,2.7,0,0,0,0.09898680448532104,81
10124,10,10,2.2,2.5,2.2,2.5,0,0,0,0.07236476987600327,82
10125,10,10,2.6,3.1,2.6,3.1,0,0,0,0.06524118781089783,83
10126,10,10,3.3,3.4,3.7,2.7,2,0,0,0.09777554869651794,84
10127,10,10,3.9,2.3,3.9,2.3,0,0,0,0.1021820604801178,85
10128,10,10,2.7,2.5,2.7,2.5,0,0,0,0.09684155881404877,86
10129,10,10,2.0,1.7,2.0,1.7,0,0,0,0.07977995276451111,87
10130,10,10,3.9,1.8,3.9,1.8,0,0,0,0.14520156383514404,88
10131,10,10,3.6,2.5,3.6,2.5,0,0,0,0.10804497450590134,89
10132,10,10,4.5,2.0,4.5,2.0,0,0,0,0.1539243906736374,90
10133,10,10,3.7,2.7,3.7,2.7,0,0,0,0.13282324373722076,91
10134,10,10,3.3,1.9,3.3,1.9,0,0,0,0.13397561013698578,92
10135,10,10,3.2,2.2,3.2,2.2,0,0,0,0.10340078920125961,93
10136,10,10,2.9,3.2,2.9,3.2,0,0,0,0.10068310797214508,94
10137,10,10,2.5,2.0,2.5,2.0,0,0,0,0.07896184921264648,95
10138,10,10,2.6,1.8,2.6,1.8,0,0,0,0.07596919685602188,96
10139,10,10,1.9,2.2,1.9,2.2,0,0,0,0.0778106302022934,97
10140,10,10,2.4,2.4,2.4,2.4,0,0,0,0.060861922800540924,98
10141,10,10,3.2,2.5,3.2,2.5,0,0,0,0.11113307625055313,99
25042,25,25,5.08,4.08,5.08,4.08,0,0,0,0.09148039668798447,0
25043,25,25,5.44,4.12,5.44,4.12,0,0,0,0.11456122249364853,1
25044,25,25,5.84,4.12,5.84,4.12,0,0,0,0.10811560600996017,2
25045,25,25,4.44,4.16,4.44,4.16,0,0,0,0.06887144595384598,3
25046,25,25,4.48,3.44,4.48,3.44,0,0,0,0.09413371235132217,4
25047,25,25,5.36,3.76,5.36,3.76,0,0,0,0.10159727931022644,5
25048,25,25,5.16,3.56,5.36,3.16,2,0,0,0.07806532829999924,6
25049,25,25,5.68,3.44,5.68,3.44,0,0,0,0.09982942789793015,7
25050,25,25,5.92,3.64,5.92,3.64,0,0,0,0.11871255189180374,8
25051,25,25,4.2,4.96,4.2,4.96,0,0,0,0.09158763289451599,9
25052,25,25,5.4,4.32,5.4,4.32,0,0,0,0.10698253661394119,10
25053,25,25,5.2,4.16,5.2,4.16,0,0,0,0.09742257744073868,11
25054,25,25,4.92,4.48,5.48,4.04,2,0,0,0.089098259806633,12
25055,25,25,5.6,3.44,5.8,2.44,2,0,0,0.10352155566215515,13
25056,25,25,4.72,3.72,4.72,3.72,0,0,0,0.06255848705768585,14
25057,25,25,4.88,3.32,4.88,3.32,0,0,0,0.09123862534761429,15
25058,25,25,5.04,4.2,5.04,4.2,0,0,0,0.09600433707237244,16
25059,25,25,4.44,3.32,4.44,3.32,0,0,0,0.07976812869310379,17
25060,25,25,5.6,3.48,5.6,3.48,0,0,0,0.08729850500822067,18
25061,25,25,4.04,3.96,4.04,3.96,0,0,0,0.08360627293586731,19
25062,25,25,5.4,3.92,5.4,3.92,0,0,0,0.10538961738348007,20
25063,25,25,4.04,3.88,5.28,3.56,2,0,0,0.07031761109828949,21
25064,25,25,4.72,3.08,4.72,3.08,0,0,0,0.09364677220582962,22
25065,25,25,6.12,3.96,6.12,3.96,0,0,0,0.09047573804855347,23
25066,25,25,6.0,5.0,6.16,4.52,2,0,0,0.09560707956552505,24
25067,25,25,4.32,3.16,4.32,3.16,0,0,0,0.07952873408794403,25
25068,25,25,5.04,2.4,5.04,2.4,0,0,0,0.0900028795003891,26
25069,25,25,5.56,4.8,5.56,4.8,0,0,0,0.07818702608346939,27
25070,25,25,5.44,2.32,5.44,2.32,0,0,0,0.10343681275844574,28
25071,25,25,4.8,5.08,5.12,4.68,2,0,0,0.07153984904289246,29
25072,25,25,5.52,4.64,6.0,4.08,3,0,0,0.08575256913900375,30
25073,25,25,5.6,3.96,5.6,3.96,0,0,0,0.08120357990264893,31
25074,25,25,5.24,3.24,5.24,3.24,0,0,0,0.09262236207723618,32
25075,25,25,5.8,3.2,6.16,2.96,2,0,0,0.09766659885644913,33
25076,25,25,3.88,3.8,3.88,3.8,0,0,0,0.061011698096990585,34
25077,25,25,5.48,3.92,5.48,3.92,0,0,0,0.08625003695487976,35
25078,25,25,4.44,3.76,4.44,3.76,0,0,0,0.09350822120904922,36
25079,25,25,5.44,3.52,5.44,3.52,0,0,0,0.08372574299573898,37
25080,25,25,6.32,3.84,7.0,3.28,2,0,0,0.11231391876935959,38
25081,25,25,6.56,5.12,6.68,4.72,2,0,0,0.09562289714813232,39
25082,25,25,5.24,4.28,5.24,4.28,0,0,0,0.09440970420837402,40
25083,25,25,4.36,4.36,4.8,3.68,2,0,0,0.05083749443292618,41
25084,25,25,5.68,3.56,5.68,3.56,0,0,0,0.09989144653081894,42
25085,25,25,4.92,3.0,4.92,3.0,0,0,0,0.08960673213005066,43
25086,25,25,5.6,4.04,6.08,3.56,2,0,0,0.10265276581048965,44
25087,25,25,4.68,4.52,4.68,4.52,0,0,0,0.08027036488056183,45
25088,25,25,4.76,4.0,5.28,3.16,2,0,0,0.09872826188802719,46
25089,25,25,4.8,2.68,4.8,2.68,0,0,0,0.09572488814592361,47
25090,25,25,4.48,4.84,4.64,3.56,2,0,0,0.07792944461107254,48
25091,25,25,4.56,2.28,4.56,2.28,0,0,0,0.09785374999046326,49
25092,25,25,6.52,4.4,6.52,4.4,0,0,0,0.12245852500200272,50
25093,25,25,5.28,4.72,5.28,4.72,0,0,0,0.08540823310613632,51
25094,25,25,5.08,3.0,5.08,3.0,0,0,0,0.0873415544629097,52
25095,25,25,5.0,4.08,5.52,3.84,2,0,0,0.08047369122505188,53
25096,25,25,3.8,2.68,3.8,2.68,0,0,0,0.07318899780511856,54
25097,25,25,6.12,4.8,6.8,4.16,3,0,0,0.11205561459064484,55
25098,25,25,6.56,4.2,6.56,4.2,0,0,0,0.09991906583309174,56
25099,25,25,5.2,4.28,5.48,3.8,2,0,0,0.0650421753525734,57
25100,25,25,5.92,3.8,6.2,3.48,2,0,0,0.10183283686637878,58
25101,25,25,4.84,3.52,4.84,3.52,0,0,0,0.08720676600933075,59
25102,25,25,3.56,3.08,3.56,3.08,0,0,0,0.0711863711476326,60
25103,25,25,4.36,3.96,4.36,3.96,0,0,0,0.09545271098613739,61
25104,25,25,4.76,3.08,4.76,3.08,0,0,0,0.07434726506471634,62
25105,25,25,4.88,3.84,4.88,3.84,0,0,0,0.07505922764539719,63
25106,25,25,4.32,4.72,4.64,3.96,3,0,0,0.09126614034175873,64
25107,25,25,5.16,4.44,5.36,3.44,2,0,0,0.0826510414481163,65
25108,25,25,5.92,3.8,5.92,3.8,0,0,0,0.10450131446123123,66
25109,25,25,6.08,4.16,6.08,4.16,0,0,0,0.10151612013578415,67
25110,25,25,5.64,5.04,5.64,5.04,0,0,0,0.08461041748523712,68
25111,25,25,5.2,3.36,5.2,3.36,0,0,0,0.09417638927698135,69
25112,25,25,5.16,4.24,5.16,4.24,0,0,0,0.11347019672393799,70
25113,25,25,4.92,2.96,4.92,2.96,0,0,0,0.10448495298624039,71
25114,25,25,5.36,4.76,5.36,4.76,0,0,0,0.10139093548059464,72
25115,25,25,4.92,3.76,4.92,3.76,0,0,0,0.09999030083417892,73
25116,25,25,5.08,2.56,5.08,2.56,0,0,0,0.09403818100690842,74
25117,25,25,6.28,4.2,6.8,3.44,2,0,0,0.10896816849708557,75
25118,25,25,3.92,3.4,3.92,3.4,0,0,0,0.07190117239952087,76
25119,25,25,6.16,4.48,6.16,4.48,0,0,0,0.09257378429174423,77
25120,25,25,4.76,3.72,4.76,3.72,0,0,0,0.09423953294754028,78
25121,25,25,5.12,4.88,5.72,4.68,2,0,0,0.08347880840301514,79
25122,25,25,5.72,3.72,5.72,3.72,0,0,0,0.10733475536108017,80
25123,25,25,4.68,3.12,4.68,3.12,0,0,0,0.09791870415210724,81
25124,25,25,6.24,3.6,6.8,2.76,3,0,0,0.11710601300001144,82
25125,25,25,5.84,3.68,5.84,3.68,0,0,0,0.10392556339502335,83
25126,25,25,6.2,3.0,6.2,3.0,0,0,0,0.10794907063245773,84
25127,25,25,6.32,4.08,7.48,2.88,4,0,0,0.1154765784740448,85
25128,25,25,4.24,2.36,4.24,2.36,0,0,0,0.09234113991260529,86
25129,25,25,5.6,3.28,5.6,3.28,0,0,0,0.08146248757839203,87
25130,25,25,4.36,3.44,4.36,3.44,0,0,0,0.0900312215089798,88
25131,25,25,4.56,4.48,4.64,4.4,2,0,0,0.08967027068138123,89
25132,25,25,5.6,4.0,5.6,4.0,0,0,0,0.0958104133605957,90
25133,25,25,5.16,3.4,5.16,3.4,0,0,0,0.08875235170125961,91
25134,25,25,4.96,3.6,4.96,3.6,0,0,0,0.09230349957942963,92
25135,25,25,4.84,3.16,4.84,3.16,0,0,0,0.09671507030725479,93
25136,25,25,3.88,4.68,4.64,3.88,2,0,0,0.05872685834765434,94
25137,25,25,4.8,3.76,4.92,3.64,2,0,0,0.09375839680433273,95
25138,25,25,4.44,3.44,4.44,3.44,0,0,0,0.0986027643084526,96
25139,25,25,5.28,3.0,5.28,3.0,0,0,0,0.10681044310331345,97
25140,25,25,5.44,4.48,5.64,3.68,2,0,0,0.08981449156999588,98
25141,25,25,4.32,3.24,4.32,3.24,0,0,0,0.08431760221719742,99
50042,50,50,8.72,5.64,9.7,4.2,4,0,0,0.08645708858966827,0
50043,50,50,9.66,5.88,9.66,5.88,0,0,0,0.10402338951826096,1
50044,50,50,8.46,5.26,8.46,5.26,0,0,0,0.1002851277589798,2
50045,50,50,7.62,4.84,7.62,4.84,0,0,0,0.09591119736433029,3
50046,50,50,8.9,6.66,9.66,5.84,3,0,0,0.08848201483488083,4
50047,50,50,7.9,5.4,7.94,5.36,2,0,0,0.091575987637043,5
50048,50,50,8.74,4.94,8.74,4.94,0,0,0,0.0876091867685318,6
50049,50,50,10.16,7.62,11.84,5.28,8,0,0,0.10261650383472443,7
50050,50,50,6.42,6.28,6.8,6.0,3,0,0,0.08275284618139267,8
50051,50,50,7.86,4.9,7.86,4.9,0,0,0,0.08832288533449173,9
50052,50,50,9.94,6.54,10.64,4.72,5,0,0,0.10860588401556015,10
50053,50,50,6.1,5.28,6.1,5.28,0,0,0,0.08242635428905487,11
50054,50,50,8.34,4.52,8.34,4.52,0,0,0,0.0932142436504364,12
50055,50,50,8.98,6.32,9.62,5.34,3,0,0,0.09082547575235367,13
50056,50,50,6.84,5.74,7.22,5.04,3,0,0,0.08947770297527313,14
50057,50,50,8.84,6.54,9.32,6.16,2,0,0,0.08603189885616302,15
50058,50,50,7.48,5.12,8.12,4.78,2,0,0,0.08347495645284653,16
50059,50,50,8.62,5.46,8.86,5.04,2,0,0,0.10530497133731842,17
50060,50,50,6.82,4.14,6.82,4.14,0,0,0,0.0778350904583931,18
50061,50,50,8.62,4.88,8.62,4.88,0,0,0,0.08900720626115799,19
50062,50,50,8.46,5.8,9.4,3.92,5,0,0,0.09339353442192078,20
50063,50,50,6.58,5.98,6.58,5.98,0,0,0,0.09784409403800964,21
